iter	RMSE
0	0.9980196955
1	0.9977678405
2	0.9975673313
3	0.9973750033
4	0.9972370797
5	0.9970294047
6	0.9968775528
7	0.9967645143
8	0.9966190328
9	0.9964950277
10	0.9964000507
11	0.9963077737
12	0.9961980316
13	0.9960946571
14	0.9960376491
15	0.9959566934
16	0.9958967271
17	0.9958419035
18	0.9957712596
19	0.9957232574
20	0.9956681497
21	0.9956144459
22	0.9955569643
23	0.9955032202
24	0.9954243835
25	0.9953884123
26	0.9953522683
27	0.9952981012
28	0.9952591733
29	0.9951976201
30	0.9951592718
31	0.995107017
32	0.9950507764
33	0.9950092292
34	0.9949639372
35	0.9949175444
36	0.9948674404
37	0.9948318269
38	0.9947960404
39	0.9947627942
40	0.994713335
41	0.994682937
42	0.9946246458
43	0.9945964092
44	0.9945584844
45	0.9945214857
46	0.9944855506
47	0.9944578255
48	0.9944219912
49	0.9944047779
50	0.9943855715
51	0.9943616574
52	0.994329187
53	0.9943107007
54	0.9942814931
55	0.9942388141
56	0.9942043465
57	0.9941592928
58	0.9941321772
59	0.994100421
60	0.9940709666
61	0.9940420956
62	0.9940111615
63	0.9939823232
64	0.9939542746
65	0.9939007533
66	0.993862905
67	0.9938297995
68	0.993810857
69	0.9937744149
70	0.9937403438
71	0.9937178239
72	0.9936843697
73	0.9936661809
74	0.9936374357
75	0.993616564
76	0.9935855135
77	0.9935527426
78	0.9935302528
79	0.9935042892
80	0.9934627461
81	0.9934310717
82	0.9934014255
83	0.9933754242
84	0.9933514858
85	0.9933133759
86	0.9932987575
87	0.9932713432
88	0.9932439969
89	0.9932167874
90	0.9931924668
91	0.9931662536
92	0.9931446495
93	0.9931276893
94	0.9931067037
95	0.9930897772
96	0.9930618755
97	0.9930278831
98	0.9929946121
99	0.9929881436
100	0.9929511552
101	0.9929096233
102	0.9928934505
103	0.9928799959
104	0.9928624806
105	0.992837119
106	0.992824524
107	0.9927952726
108	0.9927677756
109	0.9927341517
110	0.9927114025
111	0.9926855551
112	0.99267344
113	0.9926570569
114	0.9926438745
115	0.9926169239
116	0.9926022609
117	0.9925709033
118	0.9925407839
119	0.9925141059
120	0.9924984775
121	0.9924706279
122	0.9924583381
123	0.992437476
124	0.9924024983
125	0.9923843204
126	0.9923646273
127	0.9923312997
128	0.9923083691
129	0.9922873316
130	0.9922636769
131	0.9922334449
132	0.9921947755
133	0.9921755608
134	0.9921496995
135	0.9921224944
136	0.9921104413
137	0.9920798258
138	0.9920594035
139	0.9920450421
140	0.9920083285
141	0.9919852182
142	0.9919527045
143	0.991934105
144	0.9919178475
145	0.991896354
146	0.9918860893
147	0.9918648018
148	0.9918425493
149	0.9918312507
150	0.9918067239
151	0.9917890174
152	0.9917517431
153	0.9917330021
154	0.9917068881
155	0.9916818759
156	0.9916593781
157	0.9916407732
158	0.9916210998
159	0.9915940526
160	0.9915670735
161	0.9915532563
162	0.9915378539
163	0.9915098051
164	0.9914981581
165	0.9914789643
166	0.9914532572
167	0.9914255161
168	0.991394397
169	0.9913678949
170	0.9913472856
171	0.9913302257
172	0.9913033084
173	0.9912790787
174	0.9912525047
175	0.9912289287
176	0.9912053521
177	0.991176639
178	0.9911535438
179	0.9911313098
180	0.9911209683
181	0.9910959413
182	0.9910663286
183	0.9910381975
184	0.9910200636
185	0.9909993436
186	0.9909783473
187	0.9909651426
188	0.9909336642
189	0.9909134251
190	0.9908960129
191	0.9908779798
192	0.9908611532
193	0.9908396023
194	0.9908172579
195	0.9908016371
196	0.9907797746
197	0.9907564287
198	0.9907428417
199	0.99073022
200	0.9907034244
201	0.9906804561
202	0.9906653505
203	0.9906382427
204	0.9906103408
205	0.9905856114
206	0.9905672967
207	0.9905457049
208	0.9905204909
209	0.9905001744
210	0.9904770979
211	0.9904626791
212	0.9904491225
213	0.9904302879
214	0.9904151785
215	0.9903962052
216	0.9903736093
217	0.9903613969
218	0.9903316933
219	0.9903129599
