iter	Passed	Remaining
0	240	480557
1	598	598273
2	836	556946
3	1031	514922
4	1387	553670
5	1578	524456
6	1822	518802
7	2184	543852
8	2539	561761
9	2818	560950
10	3303	597401
11	3640	603187
12	3762	575135
13	4069	577267
14	4185	553833
15	4429	549238
16	4608	537533
17	4856	534739
18	5044	525927
19	5337	528450
20	5463	514878
21	5823	523620
22	6069	521684
23	6245	514213
24	6637	524360
25	7033	534033
26	7363	538117
27	7587	534385
28	7840	532857
29	8195	538159
30	8557	543527
31	8908	547876
32	9158	545880
33	9481	548242
34	9748	547308
35	10108	551499
36	10325	547825
37	10555	545000
38	10902	548184
39	11291	553278
40	11681	558126
41	12003	559593
42	12114	551350
43	12369	549895
44	12553	545360
45	12912	548496
46	13062	542789
47	13344	542691
48	13707	545765
49	13992	545717
50	14325	547457
51	14571	545853
52	14885	546846
53	15251	549603
54	15499	548102
55	15706	545240
56	16183	551674
57	16667	558068
58	16945	557462
59	17236	557307
60	17571	558535
61	17938	560728
62	18260	561424
63	18498	559592
64	18979	565019
65	19249	564057
66	19502	562651
67	19864	564377
68	20197	565237
69	20492	565002
70	20737	563419
71	21036	563303
72	21397	564848
73	21754	566194
74	22138	568214
75	22198	561981
76	22447	560615
77	22609	557124
78	22974	558668
79	23175	556200
80	23411	554650
81	23783	556297
82	23922	552529
83	24226	552603
84	24556	553233
85	24662	548881
86	25020	550164
87	25202	547573
88	25455	546573
89	25818	547929
90	26040	546272
91	26362	546734
92	26620	545862
93	26980	547082
94	27339	548234
95	27654	548485
96	27905	547461
97	28377	550757
98	28736	551792
99	29008	551162
100	29301	550929
101	29626	551287
102	29992	552384
103	30282	552074
104	30641	553000
105	30922	552527
106	31224	552409
107	31529	552358
108	31888	553226
109	32075	551121
110	32557	554058
111	33035	556891
112	33262	555448
113	33526	554661
114	33857	554965
115	34068	553326
116	34316	552294
117	34675	553050
118	34909	551797
119	35174	551065
120	35509	551417
121	35848	551831
122	35918	548123
123	36275	548807
124	36369	545543
125	36708	545959
126	36978	545355
127	37142	543212
128	37492	543787
129	37576	540523
130	37941	541323
131	38312	542181
132	38611	542008
133	38855	541073
134	39110	540308
135	39470	540974
136	39611	538658
137	39937	538872
138	40300	539560
139	40579	539130
140	40757	537363
141	41115	537971
142	41409	537744
143	41653	536869
144	41906	536117
145	42342	537691
146	42821	539777
147	43065	538906
148	43410	539280
149	43496	536452
150	43854	537003
151	44001	534969
152	44284	534592
153	44569	534260
154	45052	536265
155	45458	537345
156	45812	537787
157	46065	537041
158	46298	536067
159	46619	536125
160	46977	536599
161	47367	537415
162	47729	537911
163	48018	537574
164	48293	537080
165	48526	536129
166	48882	536535
167	49241	536971
168	49536	536692
169	49801	536103
170	50061	535454
171	50396	535613
172	50761	536072
173	51047	535705
174	51289	534872
175	51555	534300
176	51921	534761
177	52284	535178
178	52617	535288
179	52845	534330
180	53084	533484
181	53443	533851
182	53803	534209
183	54110	534045
184	54360	533323
185	54660	533084
186	54968	532926
187	55330	533287
188	55691	533632
189	55937	532882
190	56194	532226
191	56547	532493
192	56933	533047
193	57298	533410
194	57536	532582
195	57729	531351
196	58080	531572
197	58206	529736
198	58684	531112
199	58950	530557
200	59313	530866
201	59543	529993
202	59749	528916
203	60108	529186
204	60469	529479
205	60747	529036
206	61019	528540
207	61278	527935
208	61638	528199
209	61999	528472
210	62295	528180
211	62535	527418
212	62810	526958
213	63171	527214
214	63459	526861
215	63892	527706
216	64209	527579
217	64445	526800
218	64724	526370
219	65088	526621
220	65455	526904
221	65672	525970
222	65937	525432
223	66255	525313
224	66621	525567
225	66942	525470
226	67177	524692
227	67424	524022
228	67777	524169
229	67899	522533
230	68208	522340
231	68507	522072
232	68984	523153
233	69402	523778
234	69678	523332
235	69870	522250
236	70196	522180
237	70557	522362
238	70835	521929
239	71065	521144
240	71386	521034
241	71740	521156
242	72112	521403
243	72442	521346
244	72660	520487
245	72928	519982
246	73272	520028
247	73639	520227
248	73909	519738
249	74146	519026
250	74511	519207
251	74815	518961
252	74941	517478
253	75244	517234
254	75510	516731
255	75666	515480
256	76027	515626
257	76144	514122
258	76464	513993
259	76707	513349
260	77191	514314
261	77385	513341
262	77660	512913
263	78022	513057
264	78359	513035
265	78607	512429
266	78831	511668
267	79181	511725
268	79542	511849
269	79810	511379
270	80052	510740
271	80347	510441
272	80710	510577
273	81038	510480
274	81463	510995
275	81836	511178
276	82117	510786
277	82342	510051
278	82633	509720
279	83043	510122
280	83518	510921
281	83809	510584
282	84149	510545
283	84513	510651
284	84762	510060
285	84993	509368
286	85294	509091
287	85573	508688
288	85826	508127
289	86124	507839
290	86474	507849
291	86561	506326
292	86920	506392
293	87144	505675
294	87362	504925
295	87715	504955
296	88075	505024
297	88346	504582
298	88583	503945
299	88960	504110
300	89255	503806
301	89617	503876
302	89693	502340
303	90044	502350
304	90237	501483
305	90482	500904
306	90762	500521
307	91241	501235
308	91470	500571
309	91710	499970
310	92060	499970
311	92421	500022
312	92727	499778
313	92992	499318
314	93249	498811
315	93583	498717
316	93944	498767
317	94270	498628
318	94514	498053
319	94761	497495
320	95095	497402
321	95462	497472
322	95856	497684
323	96212	497690
324	96497	497330
325	96747	496794
326	97009	496319
327	97372	496360
328	97734	496397
329	98023	496057
330	98270	495508
331	98527	495010
332	98877	494979
333	99238	495004
334	99512	494592
335	99833	494412
336	100090	493918
337	100396	493667
338	100759	493689
339	101041	493318
340	101524	493925
341	101917	494092
342	102271	494064
343	102503	493449
344	102763	492965
345	103109	492900
346	103477	492933
347	103841	492948
348	104178	492833
349	104437	492349
350	104716	491957
351	105009	491636
352	105371	491635
353	105678	491375
354	105929	490857
355	106167	490279
356	106526	490261
357	106635	489094
358	106963	488934
359	107254	488605
360	107399	487611
361	107840	487963
362	108161	487771
363	108530	487790
364	108840	487544
365	109108	487114
366	109381	486705
367	109687	486440
368	110049	486426
369	110411	486405
370	110787	486449
371	111017	485852
372	111265	485333
373	111585	485129
374	111950	485118
375	112219	484691
376	112470	484190
377	112743	483783
378	113108	483770
379	113475	483763
380	113732	483286
381	113907	482467
382	114228	482265
383	114530	481980
384	114729	481269
385	115089	481229
386	115262	480408
387	115510	479904
388	115870	479866
389	116102	479292
390	116361	478838
391	116678	478621
392	117039	478580
393	117330	478257
394	117591	477810
395	117828	477263
396	118021	476543
397	118246	475957
398	118583	475821
399	118687	474750
400	119035	474656
401	119378	474542
402	119498	473547
403	119848	473462
404	120143	473156
405	120344	472487
406	120641	472190
407	121080	472452
408	121392	472215
409	121753	472166
410	122115	472122
411	122364	471636
412	122630	471222
413	122899	470818
414	123259	470762
415	123618	470701
416	123914	470397
417	124184	470001
418	124536	469910
419	124795	469468
420	125136	469334
421	125490	469252
422	125714	468681
423	126181	469015
424	126493	468771
425	126705	468155
426	127056	468056
427	127414	467980
428	127623	467357
429	128105	467734
430	128262	466921
431	128622	466851
432	128838	466258
433	129045	465633
434	129406	465567
435	129501	464543
436	129841	464399
437	130114	464015
438	130277	463243
439	130637	463169
440	131005	463122
441	131310	462855
442	131550	462356
443	131800	461894
444	132144	461762
445	132340	461115
446	132816	461441
447	133296	461777
448	133470	461053
449	133777	460790
450	134138	460710
451	134284	459894
452	134569	459556
453	134834	459151
454	135006	458428
455	135360	458324
456	135746	458330
457	136112	458264
458	136451	458106
459	136701	457652
460	136947	457184
461	137282	457013
462	137643	456928
463	137947	456652
464	138094	455860
465	138441	455727
466	138640	455107
467	138870	454594
468	139206	454423
469	139689	454733
470	140057	454667
471	140422	454589
472	140751	454391
473	140968	453834
474	141220	453392
475	141666	453571
476	141986	453345
477	142345	453243
478	142686	453083
479	142936	452632
480	143197	452218
481	143512	451974
482	143873	451875
483	144161	451547
484	144416	451115
485	144677	450703
486	145099	450791
487	145583	451069
488	145878	450760
489	146187	450494
490	146550	450395
491	146884	450205
492	147142	449784
493	147615	450017
494	147916	449725
495	148153	449239
496	148487	449048
497	148854	448954
498	149170	448706
499	149431	448293
500	149660	447785
501	150020	447672
502	150382	447559
503	150654	447181
504	150891	446697
505	151184	446381
506	151382	445785
507	151609	445277
508	152086	445504
509	152389	445215
510	152747	445088
511	153096	444936
512	153312	444397
513	153548	443915
514	153908	443794
515	154245	443603
516	154470	443093
517	154829	442967
518	155077	442523
519	155435	442392
520	155740	442111
521	155977	441636
522	156229	441205
523	156700	441392
524	156991	441070
525	157352	440946
526	157672	440706
527	157923	440272
528	158164	439810
529	158520	439670
530	158885	439552
531	159163	439196
532	159426	438797
533	159681	438377
534	160039	438240
535	160398	438104
536	160671	437732
537	160905	437257
538	161186	436908
539	161549	436781
540	161844	436472
541	162309	436619
542	162664	436468
543	162944	436117
544	163171	435622
545	163480	435348
546	163844	435222
547	164120	434859
548	164363	434409
549	164691	434186
550	165012	433944
551	165377	433815
552	165659	433471
553	165897	433011
554	166168	432636
555	166604	432692
556	166936	432477
557	167301	432344
558	167626	432109
559	167857	431633
560	168100	431188
561	168459	431040
562	168808	430867
563	169060	430444
564	169449	430372
565	169691	429925
566	169995	429636
567	170358	429496
568	170675	429239
569	170936	428840
570	171182	428404
571	171669	428574
572	172153	428730
573	172415	428335
574	172673	427928
575	173032	427775
576	173402	427644
577	173885	427794
578	174197	427521
579	174562	427376
580	174924	427225
581	175186	426828
582	175445	426426
583	175719	426059
584	176084	425913
585	176400	425648
586	176876	425769
587	177233	425602
588	177562	425366
589	177614	424469
590	177925	424191
591	178196	423817
592	178561	423669
593	178845	423326
594	179153	423042
595	179514	422884
596	179790	422523
597	180018	422049
598	180310	421728
599	180672	421569
600	181011	421356
601	181271	420958
602	181519	420534
603	181843	420288
604	182209	420135
605	182508	419829
606	182723	419330
607	183201	419434
608	183577	419305
609	183819	418867
610	184134	418598
611	184497	418435
612	184825	418195
613	185111	417858
614	185344	417400
615	185724	417276
616	186035	416995
617	186396	416828
618	186688	416506
619	186945	416105
620	187200	415700
621	187563	415535
622	187924	415365
623	188037	414646
624	188308	414279
625	188462	413653
626	188822	413481
627	189107	413146
628	189265	412532
629	189623	412356
630	189756	411689
631	190058	411392
632	190415	411212
633	190631	410729
634	191109	410809
635	191395	410477
636	191638	410051
637	191987	409854
638	192347	409678
639	192635	409350
640	192901	408975
641	193149	408562
642	193499	408365
643	193859	408188
644	194085	407729
645	194336	407324
646	194654	407060
647	195018	406890
648	195282	406512
649	195761	406580
650	196041	406235
651	196264	405773
652	196583	405510
653	196947	405338
654	197259	405059
655	197511	404658
656	197749	404226
657	198122	404072
658	198486	403900
659	198818	403660
660	199059	403239
661	199296	402806
662	199646	402605
663	200008	402426
664	200396	402299
665	200771	402146
666	201041	401782
667	201299	401392
668	201576	401042
669	201937	400860
670	202262	400605
671	202513	400204
672	202755	399787
673	203103	399576
674	203468	399401
675	203707	398977
676	203954	398569
677	204260	398277
678	204618	398086
679	204882	397712
680	205364	397761
681	205649	397427
682	205886	397002
683	206179	396684
684	206543	396503
685	206830	396173
686	207085	395784
687	207332	395378
688	207625	395061
689	207945	394794
690	208151	394313
691	208510	394121
692	208587	393397
693	208945	393203
694	209213	392840
695	209396	392316
696	209882	392362
697	210168	392033
698	210505	391799
699	210868	391612
700	211187	391344
701	211444	390961
702	211698	390572
703	212032	390333
704	212395	390144
705	212767	389972
706	212872	389313
707	213208	389076
708	213419	388609
